id,question,source_attendue,reponse_attendue,statut
1,Livrez-vous en Belgique ?,FAQ,"Oui — France métropolitaine, Corse, DOM, Belgique, Luxembourg et Suisse. Belgique : 5-7 jours ouvrés, 9,90 € et gratuit dès 99 €.",
2,À partir de quel montant la livraison est-elle gratuite en France ?,FAQ,"59 € en livraison standard (4,90 € en dessous).",
3,Combien de temps ai-je pour retourner un article ?,Politique de retour,14 jours francs à compter de la réception.,
4,Est-ce que je peux retourner des bulbes de tulipes ?,Politique de retour,"Non si le sachet scellé est ouvert (semences) ; les plantes vivantes et bulbes sont exclus du droit de rétractation, mais couverts par la garantie de reprise 30 jours.",
5,Qui paie les frais de retour si le produit est défectueux ?,Politique de retour,NeoGarden les prend intégralement en charge.,
6,Quel est le délai de remboursement après un retour ?,Politique de retour,14 jours maximum après réception ; 3 à 5 jours ouvrés en pratique.,
7,Quelle est la durée de la garantie légale de conformité ?,CGU / Politique de retour,Deux ans à compter de la délivrance.,
8,Puis-je payer en plusieurs fois ?,FAQ / CGU,"Oui, en trois fois sans frais par carte bancaire pour les paniers de 150 à 2 000 €.",
9,Quand suis-je débité ?,FAQ,À l'expédition — une empreinte bancaire est posée à la commande.,
10,Quel sécateur me conseillez-vous pour couper des branches de 2 cm ?,Catalogue,"Sécateur Verdania VX-200 (34,90 €), coupe jusqu'à 22 mm.",
11,Avez-vous un robot tondeuse pour un jardin de 400 m² ?,Catalogue,"Torvald Autonom R500 (899 €), jusqu'à 500 m², pente max 35 %.",
12,Quel est le prix de la serre de jardin ?,Catalogue,"Solaris Garden Vitis 6 m² — 449,00 €.",
13,Quelle est la puissance du broyeur de végétaux ?,Catalogue,"Torvald ShredMax 2500 — 2500 W, branches jusqu'à 42 mm.",
14,Combien coûte la livraison d'une serre de jardin ?,FAQ + Catalogue,"Article volumineux : transporteur spécialisé sur rendez-vous, 7 à 14 jours ouvrés. (Question croisée entre deux sources — teste la fusion.)",
15,Quel est votre chiffre d'affaires 2025 ?,Aucune,"Doit répondre qu'il ne sait pas. (Question hors périmètre — teste le refus, c'est la plus importante.)",
